Date,Open,High,Low,Close,Volume
1/1/2024,0.0889188,0.092124,0.088493,0.0916564,2488515180
1/2/2024,0.0916564,0.0944492,0.0904954,0.0909726,3611677375
1/3/2024,0.0909726,0.0921322,0.0721186,0.0818913,3724602299
1/4/2024,0.0818929,0.0847372,0.0811133,0.0843412,4568690827
1/5/2024,0.0843304,0.0848938,0.0807042,0.0820638,4122143254
1/6/2024,0.0820358,0.0828981,0.0784547,0.0806774,3912880922
1/7/2024,0.0806484,0.0814991,0.0771193,0.078099,3436604841
1/8/2024,0.0780119,0.0815662,0.0742091,0.0814114,3087623360
1/9/2024,0.0814034,0.0836241,0.076904,0.0786334,4556044010
1/10/2024,0.0786344,0.0835149,0.0762606,0.0829397,3067653949
1/11/2024,0.0829206,0.0879513,0.0820979,0.083865,3718960992
1/12/2024,0.083865,0.085457,0.0778368,0.079117,2708942087
1/13/2024,0.0791017,0.0813401,0.0785888,0.0807416,1709041898
1/14/2024,0.0807816,0.0839114,0.0801127,0.0806303,2595209546
1/15/2024,0.0806303,0.0815824,0.0791574,0.0812442,1230826850
1/16/2024,0.0812442,0.0824519,0.0791675,0.0815888,1662537595
1/17/2024,0.081303,0.081573,0.0793653,0.0803406,1483214094
1/18/2024,0.0803805,0.0807075,0.0769101,0.0782419,1637229246
1/19/2024,0.0782499,0.0787759,0.0747649,0.0783414,1620739954
1/20/2024,0.0783421,0.0849494,0.0781639,0.0844317,2820097753
1/21/2024,0.0866754,0.0901097,0.084374,0.0848174,4794967456
1/22/2024,0.0848165,0.0855227,0.0800758,0.0808434,2699311043
1/23/2024,0.0809233,0.08175,0.0759324,0.0777515,2456349473
1/24/2024,0.0777707,0.0805839,0.0775549,0.0785991,2015401410
1/25/2024,0.0786091,0.0792183,0.0770845,0.077698,1401963309
1/26/2024,0.077678,0.0803071,0.0775097,0.0799932,1434469028
1/27/2024,0.0799932,0.080686,0.0789934,0.0804992,1441383783
1/28/2024,0.0805,0.0814329,0.0781714,0.0784474,1330725453
1/29/2024,0.0784974,0.0829526,0.078185,0.0817,2545407079
1/30/2024,0.0816808,0.082176,0.0803992,0.0803992,1730409216
